"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,153.25,-10.375975828069
2,203.35,-9.76562430877085
3,192.2,-10.3759758280926
4,226.25,-10.986327347392
5,196.65,-10.3759758280926
6,128.15,-10.9863273473421
7,145.65,-9.15527278945172
8,150.05,-9.15527278945186
9,109.95,-11.596678866639
10,134.5,-8.54492127015508
11,152.25,-10.3759758280454
12,132.4,-9.76562430892614
13,133.400000000001,-7.9345697508583
14,230.049999999999,-9.15527278961839
15,170.4,-12.2070303861577
16,180.349999999999,-12.2070303861578
17,175.25,-9.7656243087485
18,177.65,-12.8173819052325
19,216.549999999999,-9.76562430892614
20,206.55,-12.2070303859356
21,205.75,-11.5966788666388
22,176.650000000001,-10.9863273473421
23,184.15,-11.5966788668498
24,263,-9.76562430857101
25,166.400000000001,-10.9863273471422
26,174.5,-10.986327347542
27,196.300000000001,-10.3759758278567
28,189.949999999999,-10.375975828234
29,166.35,-9.76562430857101
30,202,-10.9863273471424
31,144.949999999999,-10.986327347542
32,206.800000000001,-10.9863273471422
33,218.9,-11.5966788664279
34,169.15,-10.3759758282342
35,193.700000000001,-11.596678866428
36,207.949999999999,-10.375975828234
37,168.25,-9.76562430857101
38,189.75,-10.375975828234
39,192.85,-10.9863273471422
40,191.549999999999,-9.76562430892614
41,204.15,-10.375975828234
42,165.949999999999,-10.3759758282342
43,226.699999999999,-10.375975828234
44,179.5,-10.9863273475419
45,185.700000000001,-10.375975828234
46,160.150000000001,-10.9863273475419
47,187,-10.375975828234
48,194.549999999999,-10.9863273475419
49,234.399999999998,-10.3759758282342
50,183.799999999999,-10.9863273475419
51,930.5,-11.5966788668499
52,181.299999999999,-10.375975828234
53,202.649999999998,-10.3759758282342
54,201.049999999999,-11.5966788668498
55,176.400000000001,-10.9863273475419
56,195.400000000001,-12.2070303861578
57,198.600000000002,-10.3759758274792
58,156.450000000001,-10.986327347542
59,162.950000000001,-9.76562430892628
60,202.25,-9.76562430892614
61,175.25,-10.9863273467425
62,187.599999999999,-10.3759758282342
63,165.649999999998,-11.5966788668498
64,150.349999999999,-10.375975828234
65,198.349999999999,-12.2070303861578
66,214.700000000001,-10.9863273475419
67,209.849999999999,-10.986327347542
68,186.949999999997,-10.986327347542
69,215.849999999999,-10.375975828234
70,179.050000000003,-10.9863273467425
71,167.299999999999,-12.2070303861578
72,554.450000000001,-10.3759758274791
73,161.399999999998,-10.3759758282342
74,191.75,-9.76562430892628
75,183.599999999999,-9.76562430892614
76,179.699999999997,-11.5966788668499
77,178.600000000002,-13.4277334247736
78,251.650000000001,-10.9863273475419
79,149.900000000001,-11.5966788668499
80,146.150000000001,-10.3759758282342
81,119.849999999999,-9.15527278961839
82,169.75,-9.76562430963668
83,142.399999999994,-10.9863273483414
84,136.75,-9.76562430963668
85,132.900000000001,-10.3759758274791
86,110,-8.54492127093209
87,164.849999999999,-9.76562430821573
88,131.200000000004,-9.76562430821559
89,123.299999999996,-9.15527279028453
90,122.600000000006,-9.76562430821559
91,120.5,-8.54492127093209
92,136.199999999997,-8.54492126968864
93,171.300000000003,-9.15527278895212
94,135.800000000003,-8.54492126968864
95,142.950000000004,-9.76562430821573
96,142.25,-9.76562430821573
97,412.649999999994,-9.15527279028453
98,164.100000000006,-9.15527278895226
99,186.949999999997,-7.93456975157987
100,182.849999999999,-8.54492127093224
101,139.800000000003,-10.3759758274791
102,154.5,-8.54492127093209
103,141.449999999997,-9.15527279028439
104,149.150000000001,-7.93456975042521
105,213.099999999999,-7.93456975042524
106,190.700000000004,-9.15527278895212
107,121.049999999996,-8.54492127093209
108,256.349999999999,-7.93456975042521
109,141.449999999997,-9.15527279028439
110,212.949999999997,-8.54492127093216
111,180.800000000003,-9.15527278895219
112,119.099999999999,-9.15527279028453
113,153.199999999997,-8.54492127093216
114,192.300000000003,-8.54492126968864
115,524.400000000001,-8.54492127093209
116,164.200000000004,-10.3759758274792
117,147.049999999996,-7.32421823222765
118,124.800000000003,-7.93456975042531
119,155.900000000001,-8.54492126968857
120,173.799999999996,-7.32421823222751
121,141.449999999997,-8.54492126968864
122,131.050000000003,-7.93456975042531
123,160.149999999994,-7.93456975157994
124,144.099999999999,-7.93456975157994
125,172.049999999996,-8.54492127093213
126,127.75,-7.32421823222751
127,133.049999999996,-7.93456975157994
128,175.300000000003,-8.54492126968879
129,174.899999999994,-7.93456975157994
130,435.099999999999,-7.93456975157994
131,113.300000000003,-7.93456975042524
132,173.599999999999,-7.32421823222765
133,233,-7.93456975042524
134,138.100000000006,-9.15527278895219
135,230.349999999999,-7.32421823222754
136,174.350000000006,-7.93456975042531
137,147.5,-7.93456975042531
138,190.199999999997,-6.71386671287529
139,160.399999999994,-9.15527279028453
140,156.949999999997,-8.54492127093224
141,465.099999999999,-8.54492126968879
142,150.849999999999,-7.93456975042524
143,153.100000000006,-9.15527278895212
144,409.25,-7.32421823222765
145,154.25,-7.93456975157987
146,156.650000000001,-7.93456975042517
147,214.050000000003,-7.93456975042517
148,233.050000000003,-7.32421823116169
149,376.300000000003,-7.32421823116173
150,124.300000000003,-7.93456975042531
151,145.400000000001,-9.15527279028453
152,162.049999999996,-8.54492127093209
153,165.150000000001,-8.54492126968857
154,150.25,-7.93456975042517
155,232.400000000001,-7.32421823116174
156,159.800000000003,-7.9345697504251
157,174.949999999997,-7.9345697515798
158,117.050000000003,-8.54492126968871
159,167.650000000001,-8.54492126968864
160,512.849999999999,-7.93456975157973
161,241.400000000001,-6.71386671287525
162,196.149999999994,-7.32421823222765
163,159.299999999996,-8.54492127093209
164,191.800000000003,-7.93456975042524
165,278.449999999997,-7.32421823222754
166,247,-7.9345697504252
167,239.5,-7.9345697515798
168,178.899999999994,-7.32421823222758
169,146.600000000006,-7.93456975042524
170,256.649999999994,-7.32421823222765
171,153.5,-7.93456975042531
172,924.449999999997,-9.15527279028446
173,565.100000000006,-8.54492126968864
174,209.5,-9.15527279028446
175,183.949999999997,-9.15527278895226
176,236.300000000003,-8.54492126968871
177,210.600000000006,-9.15527278895226
178,168.050000000003,-8.54492126968864
179,162.050000000003,-7.93456975042517
180,353.599999999991,-7.93456975273443
181,189.75,-7.93456975273443
182,274.949999999997,-7.32421823116174
183,144.449999999997,-8.54492126968871
184,193.199999999997,-7.9345697504252
185,206.100000000006,-8.54492126968871
186,935.949999999997,-9.15527278895212
187,194.25,-7.32421823329339
188,187.299999999988,-7.32421823329336
189,227.300000000003,-7.32421823116184
190,214.25,-8.54492127217554
191,230.800000000003,-8.54492126968864
192,265.599999999991,-7.9345697504252
193,259.099999999991,-7.32421823329346
194,230.550000000003,-9.15527278895219
195,291.399999999994,-9.15527278895212
196,215.75,-9.76562430821552
197,239.400000000009,-7.32421823116177
198,221.75,-7.93456975042531
199,246.449999999997,-7.32421823116173
200,166.050000000003,-8.54492126968871
201,171.699999999997,-7.93456975042517
202,176.449999999997,-7.93456975042531
203,274.25,-8.54492126968871
204,695.399999999994,-7.9345697504252
205,177.850000000006,-9.15527278895212
206,208.800000000003,-8.54492126968857
207,256.150000000009,-8.54492126968879
208,480.600000000006,-7.9345697504252
209,286.25,-8.54492126968857
210,213.600000000006,-9.15527278895212
211,168.649999999994,-10.3759758304989
212,198.850000000006,-8.54492126968864
213,195.450000000012,-8.54492126968864
214,552,-8.54492127217554
215,244.850000000006,-8.54492126968864
216,234.5,-9.15527278895212
217,174.5,-9.76562430821559
218,157.649999999994,-9.15527279161665
219,236.050000000003,-7.93456975042517
220,150.150000000009,-8.54492126968864
221,175.5,-10.3759758274791
222,455.199999999997,-9.15527279161665
223,244.949999999997,-7.93456975042531
224,227.850000000006,-8.54492126968864
225,240.350000000006,-7.93456975042524
226,172.899999999994,-8.54492126968864
227,455.549999999988,-9.15527279161665
228,175.849999999991,-7.93456975273436
229,168.550000000003,-7.93456975042531
230,183.399999999994,-8.54492126968879
231,239.599999999991,-9.76562430821566
232,180.699999999997,-10.9863273499401
233,175.350000000006,-8.54492126968864
234,459.900000000009,-9.76562430821559
235,153.099999999991,-7.9345697527345
236,142.649999999994,-7.93456975042517
237,152.25,-8.54492126968864
238,227.050000000003,-8.54492126968879
239,175.900000000009,-7.32421823116177
240,171.300000000003,-7.93456975042524
241,168.649999999994,-7.93456975273457
242,151.350000000006,-9.15527278895212
243,126.050000000003,-8.54492126968871
244,174.550000000003,-8.54492126968864
245,449.399999999994,-7.32421823329346
246,110.150000000009,-7.9345697504251
247,174.649999999994,-8.54492126968864
248,130.849999999991,-9.15527278895226
249,169.149999999994,-7.93456975042524
250,125.949999999997,-7.9345697504252
251,156.25,-7.93456975042517
